,full_text,hashtag,id,location,retweet_hashtags,retweet_mentions,user,user_mentions
672,RT @USyd_Westmead: Fascinating conversation happening around the future of cancer research @WestmeadInst @WestSydHealth @syd_health @CMRI_A…,[],1029149231737581568,"Sydney, Australia",['westmead'],"['Westmead Institute', 'West Sydney Health', 'Sydney_Health', 'CMRI', 'Sydney Science Fest']",Sydney_Health,"['USyd Westmead', 'Westmead Institute', 'West Sydney Health', 'Sydney_Health']"
673,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1029131474845331457,"University of Sydney, Australia",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",Dr Bubb,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
674,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1028994468190412800,"Sydney, Australia",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",Dianne van der Wal,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
675,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1028986641820655616,"San Antonio, TX",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",UTHealth Grad School,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
676,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1028971702628188160,"Melbourne, AUSTRALIA",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",Julie McMullen,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
677,RT @jameschong_doc: Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @V…,[],1028958331388358657,"Sydney, New South Wales",[],"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']",Dr Anastasia Susie Mihailidou FAHA,"['James Chong', 'Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen']"
678,Some good advice here - How to start a research lab https://t.co/ZFsViKOSMU @AnastasiaSMihai @gemtreee @DrJRMcMullen @VandenbergJamie @WestmeadInst,[],1028958062042697728,"Sydney, Australia",,,James Chong,"['Dr Anastasia Susie Mihailidou FAHA', 'Dr Fig', 'Julie McMullen', 'Jamie Vandenberg', 'Westmead Institute']"
679,RT @USyd_Westmead: Fascinating conversation happening around the future of cancer research @WestmeadInst @WestSydHealth @syd_health @CMRI_A…,[],1028937137301770240,Sydney,['westmead'],"['Westmead Institute', 'West Sydney Health', 'Sydney_Health', 'CMRI', 'Sydney Science Fest']",jackie randles,"['USyd Westmead', 'Westmead Institute', 'West Sydney Health', 'Sydney_Health']"
680,RT @USyd_Westmead: Fascinating conversation happening around the future of cancer research @WestmeadInst @WestSydHealth @syd_health @CMRI_A…,[],1028928423203229698,Sydney,['westmead'],"['Westmead Institute', 'West Sydney Health', 'Sydney_Health', 'CMRI', 'Sydney Science Fest']",Sydney Science Fest,"['USyd Westmead', 'Westmead Institute', 'West Sydney Health', 'Sydney_Health']"
681,Fascinating conversation happening around the future of cancer research @WestmeadInst @WestSydHealth @syd_health @CMRI_AUS #westmead @SydScienceFest https://t.co/W1GAYQtrIv,['westmead'],1028926799047053314,"Westmead, Sydney",,,USyd Westmead,"['Westmead Institute', 'West Sydney Health', 'Sydney_Health', 'CMRI', 'Sydney Science Fest']"
